DateTime,"(mm) Precipitation (gridMET) at -107.0671E,38.9968N, 2015-06-01 to 2020-10-01"
12/2/17,0
12/3/17,2.1
12/4/17,0
12/5/17,0
12/6/17,0
12/7/17,0
12/8/17,0
12/9/17,0
12/10/17,0
12/11/17,0
12/12/17,0
12/13/17,0.8
12/14/17,0
12/15/17,0
12/16/17,0
12/17/17,0
12/18/17,0
12/19/17,0
12/20/17,0.8
12/21/17,4.5
12/22/17,0.4
12/23/17,2.9
12/24/17,4.7
12/25/17,14
12/26/17,0
12/27/17,0
12/28/17,0
12/29/17,0
12/30/17,0
12/31/17,0
1/1/18,0
1/2/18,0
1/3/18,0
1/4/18,0
1/5/18,2.1
1/6/18,7.8
1/7/18,2
1/8/18,4.2
1/9/18,2.1
1/10/18,12.4
1/11/18,4.2
1/12/18,4.4
1/13/18,2.1
1/14/18,0
1/15/18,0
1/16/18,0
1/17/18,2.1
1/18/18,4.2
1/19/18,0
1/20/18,3.6
1/21/18,0
1/22/18,8.2
1/23/18,0
1/24/18,2.1
1/25/18,4.2
1/26/18,8.5
1/27/18,0
1/28/18,0
1/29/18,0
1/30/18,2.2
1/31/18,0.6
2/1/18,0
2/2/18,0
2/3/18,0
2/4/18,0
2/5/18,6.5
2/6/18,2.2
2/7/18,2.1
2/8/18,0
2/9/18,2.1
2/10/18,10.5
2/11/18,0.4
2/12/18,21.1
2/13/18,11
2/14/18,6.2
2/15/18,26.9
2/16/18,2.2
2/17/18,0
2/18/18,2.1
2/19/18,10.4
2/20/18,12.9
2/21/18,2.3
2/22/18,4.3
2/23/18,8.3
2/24/18,1.9
2/25/18,4.3
2/26/18,4.5
2/27/18,2.2
2/28/18,0
3/1/18,0
3/2/18,2
3/3/18,2.1
3/4/18,5.4
3/5/18,0
3/6/18,0
3/7/18,0
3/8/18,2.1
3/9/18,0
3/10/18,0
3/11/18,0
3/12/18,0
3/13/18,0
3/14/18,2.1
3/15/18,2.9
3/16/18,9.8
3/17/18,4.4
3/18/18,1.6
3/19/18,4
3/20/18,0
3/21/18,0
3/22/18,8.3
3/23/18,34.3
3/24/18,2.2
3/25/18,0
3/26/18,0
3/27/18,0
3/28/18,2
3/29/18,2.1
3/30/18,2
3/31/18,0
4/1/18,0
4/2/18,0.5
4/3/18,0
4/4/18,0
4/5/18,2.2
4/6/18,8.4
4/7/18,23.6
4/8/18,17.1
4/9/18,4.2
4/10/18,2.6
4/11/18,0
4/12/18,0.9
4/13/18,1.3
4/14/18,6.9
4/15/18,2.3
4/16/18,0
4/17/18,0
4/18/18,0
4/19/18,3.5
4/20/18,18.8
4/21/18,4.4
4/22/18,2.4
4/23/18,2.1
4/24/18,2.3
4/25/18,4.5
4/26/18,0
4/27/18,2.1
4/28/18,0.3
4/29/18,0
4/30/18,0
5/1/18,2
5/2/18,2.7
5/3/18,9
5/4/18,4
5/5/18,0
5/6/18,2
5/7/18,0
5/8/18,0
5/9/18,0
5/10/18,0
5/11/18,0
5/12/18,0
5/13/18,0
5/14/18,0
5/15/18,0
5/16/18,0
5/17/18,0
5/18/18,0
5/19/18,0
5/20/18,0
5/21/18,0
5/22/18,0
5/23/18,0
5/24/18,0
5/25/18,3.7
5/26/18,0
5/27/18,3.7
5/28/18,0
5/29/18,0
5/30/18,0.3
5/31/18,3.1
6/1/18,0
6/2/18,0
6/3/18,0
6/4/18,1.6
6/5/18,0
6/6/18,1.6
6/7/18,0
6/8/18,0
6/9/18,0
6/10/18,0
6/11/18,0
6/12/18,0
6/13/18,0
6/14/18,0
6/15/18,0
6/16/18,4
6/17/18,3.2
6/18/18,0
6/19/18,0
6/20/18,0
6/21/18,0
6/22/18,0
6/23/18,0
6/24/18,0
6/25/18,0
6/26/18,0
6/27/18,0
6/28/18,0
6/29/18,0
6/30/18,0
7/1/18,0
7/2/18,0
7/3/18,0
7/4/18,0
7/5/18,0
7/6/18,0
7/7/18,1
7/8/18,10.1
7/9/18,0
7/10/18,1.1
7/11/18,2.3
7/12/18,1.1
7/13/18,0
7/14/18,2.2
7/15/18,1.3
7/16/18,0
7/17/18,0
7/18/18,0
7/19/18,0
7/20/18,0
7/21/18,2.5
7/22/18,0.8
7/23/18,0.5
7/24/18,0
7/25/18,0
7/26/18,0
7/27/18,0.4
7/28/18,3.9
7/29/18,0
7/30/18,0
7/31/18,0
8/1/18,0
8/2/18,0
8/3/18,3.2
8/4/18,1.4
8/5/18,1.7
8/6/18,0
8/7/18,0
8/8/18,0
8/9/18,0
8/10/18,0
8/11/18,0
8/12/18,0
8/13/18,0
8/14/18,0
8/15/18,0
8/16/18,0.9
8/17/18,0.9
8/18/18,1.8
8/19/18,1.6
8/20/18,5
8/21/18,4.5
8/22/18,4.3
8/23/18,1.6
8/24/18,6.1
8/25/18,0.3
8/26/18,1.2
8/27/18,0
8/28/18,0
8/29/18,0
8/30/18,0
8/31/18,0
9/1/18,0
9/2/18,0
9/3/18,0
9/4/18,0
9/5/18,5.9
9/6/18,4.2
9/7/18,4.1
9/8/18,0
9/9/18,0
9/10/18,2.2
9/11/18,0
9/12/18,0
9/13/18,0
9/14/18,0
9/15/18,0
9/16/18,0
9/17/18,0
9/18/18,0
9/19/18,2.4
9/20/18,0
9/21/18,0
9/22/18,0
9/23/18,0
9/24/18,0.6
9/25/18,0
9/26/18,0
9/27/18,0
9/28/18,2.3
9/29/18,0
9/30/18,4.6
10/1/18,1.3
10/2/18,23.6
10/3/18,16.2
10/4/18,12.2
10/5/18,4.6
10/6/18,2.4
10/7/18,2.8
10/8/18,3.6
10/9/18,3.1
10/10/18,23.4
10/11/18,24.2
10/12/18,0
10/13/18,4.7
10/14/18,0.6
10/15/18,2.2
10/16/18,2.7
10/17/18,2.9
10/18/18,1.1
10/19/18,0
10/20/18,0
10/21/18,0
10/22/18,4.8
10/23/18,1.2
10/24/18,0
10/25/18,0
10/26/18,0
10/27/18,0
10/28/18,0
10/29/18,0
10/30/18,2.4
10/31/18,2.4
11/1/18,4.8
11/2/18,2.7
11/3/18,2.1
11/4/18,12.6
11/5/18,0
11/6/18,0
11/7/18,0
11/8/18,0
11/9/18,2.2
11/10/18,0.5
11/11/18,0.3
11/12/18,0
11/13/18,0.4
11/14/18,2.3
11/15/18,0
11/16/18,0
11/17/18,1.2
11/18/18,0
11/19/18,2.3
11/20/18,0
11/21/18,0
11/22/18,9.3
11/23/18,4.7
11/24/18,24.2
11/25/18,2.1
11/26/18,4.7
11/27/18,2.5
11/28/18,6.8
11/29/18,2.3
11/30/18,5.9
12/1/18,5
12/2/18,7.3
12/3/18,2.5
12/4/18,2.4
12/5/18,7.7
12/6/18,5
12/7/18,0
12/8/18,0
12/9/18,0
12/10/18,4.8
12/11/18,0
12/12/18,2.7
12/13/18,2.4
12/14/18,2.5
12/15/18,0
12/16/18,0
12/17/18,2.4
12/18/18,0
12/19/18,0
12/20/18,0
12/21/18,4.9
12/22/18,0
12/23/18,4.7
12/24/18,5
12/25/18,4.6
12/26/18,2.4
12/27/18,0.4
12/28/18,0.5
12/29/18,4.9
12/30/18,2.6
12/31/18,7.1
1/1/19,0
1/2/19,4.6
1/3/19,4.8
1/4/19,0
1/5/19,2.3
1/6/19,18.8
1/7/19,13.8
1/8/19,2.4
1/9/19,0
1/10/19,2.3
1/11/19,0.5
1/12/19,0
1/13/19,0
1/14/19,0
1/15/19,4.7
1/16/19,23.6
1/17/19,15.8
1/18/19,15.8
1/19/19,2.4
1/20/19,0
1/21/19,6.5
1/22/19,4.6
1/23/19,3
1/24/19,6.9
1/25/19,3.4
1/26/19,0
1/27/19,0
1/28/19,0
1/29/19,0
1/30/19,0.5
1/31/19,0
2/1/19,0
2/2/19,2.1
2/3/19,28
2/4/19,7.9
2/5/19,12.8
2/6/19,24.2
2/7/19,2.5
2/8/19,3.7
2/9/19,1.2
2/10/19,0
2/11/19,0
2/12/19,1.4
2/13/19,4.3
2/14/19,31
2/15/19,1.6
2/16/19,3.3
2/17/19,2.2
2/18/19,2.6
2/19/19,1.9
2/20/19,1.7
2/21/19,2.3
2/22/19,6.1
2/23/19,3.2
2/24/19,1.3
2/25/19,0
2/26/19,3.7
2/27/19,0.4
2/28/19,0
3/1/19,2.3
3/2/19,13.4
3/3/19,5.9
3/4/19,0.5
3/5/19,4.4
3/6/19,52.8
3/7/19,20.8
3/8/19,34.5
3/9/19,3.8
3/10/19,1.3
3/11/19,4.5
3/12/19,26.5
3/13/19,3.5
3/14/19,1.5
3/15/19,0
3/16/19,0
3/17/19,0
3/18/19,0
3/19/19,0
3/20/19,0
3/21/19,3.1
3/22/19,2.9
3/23/19,2.6
3/24/19,1.9
3/25/19,0
3/26/19,0
3/27/19,0
3/28/19,0
3/29/19,4.1
3/30/19,0
3/31/19,0
4/1/19,0.9
4/2/19,1.9
4/3/19,3.3
4/4/19,1.8
4/5/19,0.3
4/6/19,1
4/7/19,0
4/8/19,0
4/9/19,0.8
4/10/19,3.5
4/11/19,0.5
4/12/19,1.8
4/13/19,2.7
4/14/19,1.9
4/15/19,1.8
4/16/19,0
4/17/19,0
4/18/19,0
4/19/19,0
4/20/19,0
4/21/19,0
4/22/19,1.8
4/23/19,0
4/24/19,0
4/25/19,0
4/26/19,5.6
4/27/19,5.3
4/28/19,12.5
4/29/19,30.1
4/30/19,21.9
5/1/19,18.5
5/2/19,2.6
5/3/19,0
5/4/19,2.5
5/5/19,0
5/6/19,0
5/7/19,0
5/8/19,6.9
5/9/19,13.4
5/10/19,3
5/11/19,5
5/12/19,0
5/13/19,2.6
5/14/19,0
5/15/19,0
5/16/19,1.5
5/17/19,5.9
5/18/19,7
5/19/19,3.5
5/20/19,24.2
5/21/19,17.8
5/22/19,10.5
5/23/19,5.3
5/24/19,6.8
5/25/19,5
5/26/19,0
5/27/19,3.3
5/28/19,2.7
5/29/19,4
5/30/19,4.9
5/31/19,0
6/1/19,0
6/2/19,0.6
6/3/19,0
6/4/19,1.7
6/5/19,0.3
6/6/19,0
6/7/19,0
6/8/19,0
6/9/19,0
6/10/19,0
6/11/19,0
6/12/19,0
6/13/19,0.7
6/14/19,0
6/15/19,0
6/16/19,0.4
6/17/19,0.6
6/18/19,5.9
6/19/19,4.4
6/20/19,0.3
6/21/19,2.1
6/22/19,13
6/23/19,2.4
6/24/19,1.8
6/25/19,0
6/26/19,0
6/27/19,0
6/28/19,0
6/29/19,0
6/30/19,2.2
7/1/19,1.2
7/2/19,4.6
7/3/19,0
7/4/19,1.1
7/5/19,0
7/6/19,0
7/7/19,0
7/8/19,0
7/9/19,0
7/10/19,0
7/11/19,0
7/12/19,0
7/13/19,1.9
7/14/19,2.8
7/15/19,2.6
7/16/19,0
7/17/19,0
7/18/19,0
7/19/19,0
7/20/19,0
7/21/19,0
7/22/19,0
7/23/19,0.4
7/24/19,0.3
7/25/19,0.7
7/26/19,0.4
7/27/19,0.7
7/28/19,0
7/29/19,0
7/30/19,2.3
7/31/19,0
8/1/19,4.9
8/2/19,0.3
8/3/19,0.4
8/4/19,14.6
8/5/19,0
8/6/19,0
8/7/19,3.7
8/8/19,1.3
8/9/19,0
8/10/19,0
8/11/19,4.2
8/12/19,0
8/13/19,0
8/14/19,0
8/15/19,0
8/16/19,0
8/17/19,0
8/18/19,0
8/19/19,0
8/20/19,0
8/21/19,0
8/22/19,0
8/23/19,0
8/24/19,0
8/25/19,0
8/26/19,0
8/27/19,0
8/28/19,0
8/29/19,0
8/30/19,0
8/31/19,0
9/1/19,0
9/2/19,0
9/3/19,2.2
9/4/19,0
9/5/19,1.4
9/6/19,1.5
9/7/19,0
9/8/19,0.8
9/9/19,0
9/10/19,2.9
9/11/19,0
9/12/19,0
9/13/19,0
9/14/19,3.3
9/15/19,3.4
9/16/19,0
9/17/19,0.9
9/18/19,0
9/19/19,0
9/20/19,0
9/21/19,0
9/22/19,0
9/23/19,0
9/24/19,0
9/25/19,0
9/26/19,0
9/27/19,1
9/28/19,0
9/29/19,0
9/30/19,0
10/1/19,0
10/2/19,0
10/3/19,0
10/4/19,0
10/5/19,0
10/6/19,0
10/7/19,0
10/8/19,0
10/9/19,1.3
10/10/19,0.3
10/11/19,0
10/12/19,0.6
10/13/19,0
10/14/19,0
10/15/19,0
10/16/19,0
10/17/19,7.1
10/18/19,8.5
10/19/19,6.6
10/20/19,3
10/21/19,2.1
10/22/19,2.9
10/23/19,1.4
10/24/19,0
10/25/19,1.9
10/26/19,1.8
10/27/19,0.7
10/28/19,3.5
10/29/19,11.4
10/30/19,0
10/31/19,3.8
11/1/19,0
11/2/19,0
11/3/19,2.8
11/4/19,0
11/5/19,0
11/6/19,0
11/7/19,0
11/8/19,0
11/9/19,0
11/10/19,0
11/11/19,0
11/12/19,0
11/13/19,0
11/14/19,0
11/15/19,0
11/16/19,0
11/17/19,0
11/18/19,0
11/19/19,2.6
11/20/19,3.6
11/21/19,4.7
11/22/19,0.4
11/23/19,0
11/24/19,0
11/25/19,5.5
11/26/19,2.3
11/27/19,7.7
11/28/19,0.9
11/29/19,16.8
11/30/19,0.7
12/1/19,7.6
12/2/19,0
12/3/19,0
12/4/19,4.6
12/5/19,10.6
12/6/19,2.6
12/7/19,3.5
12/8/19,17
12/9/19,0
12/10/19,0
12/11/19,0.9
12/12/19,13
12/13/19,13.9
12/14/19,18.9
12/15/19,0
12/16/19,0
12/17/19,0
12/18/19,0
12/19/19,0
12/20/19,0
12/21/19,2.6
12/22/19,0.7
12/23/19,0
12/24/19,4
12/25/19,2.2
12/26/19,5.2
12/27/19,9.5
12/28/19,0
12/29/19,0
12/30/19,0
12/31/19,4.3
1/1/20,0
1/2/20,4.5
1/3/20,4.6
1/4/20,0
1/5/20,2.3
1/6/20,0
1/7/20,0
1/8/20,2.3
1/9/20,0.7
1/10/20,0
1/11/20,2.1
1/12/20,6.6
1/13/20,19.8
1/14/20,0
1/15/20,0
1/16/20,2.3
1/17/20,12.9
1/18/20,0
1/19/20,2.1
1/20/20,2.4
1/21/20,4.2
1/22/20,2.4
1/23/20,6.7
1/24/20,0
1/25/20,0
1/26/20,0
1/27/20,2
1/28/20,0
1/29/20,0
1/30/20,0
1/31/20,0
2/1/20,2.3
2/2/20,2.2
2/3/20,1.5
2/4/20,0.5
2/5/20,0.5
2/6/20,15.1
2/7/20,8.8
2/8/20,1.9
2/9/20,2.7
2/10/20,4.2
2/11/20,4.2
2/12/20,0.6
2/13/20,0
2/14/20,4.3
2/15/20,1.1
2/16/20,15.4
2/17/20,2.3
2/18/20,0
2/19/20,0
2/20/20,0
2/21/20,2.3
2/22/20,6.5
2/23/20,3.3
2/24/20,0.5
2/25/20,0
2/26/20,2.1
2/27/20,2.1
2/28/20,0
2/29/20,2.2
3/1/20,10.7
3/2/20,10.9
3/3/20,1
3/4/20,0
3/5/20,0
3/6/20,2.3
3/7/20,0.3
3/8/20,2.1
3/9/20,0
3/10/20,1.9
3/11/20,9.7
3/12/20,3.2
3/13/20,7.6
3/14/20,6.3
3/15/20,0.4
3/16/20,0
3/17/20,0
3/18/20,1.4
3/19/20,15.1
3/20/20,8.9
3/21/20,2.8
3/22/20,5.6
3/23/20,4.4
3/24/20,7.1
3/25/20,0
3/26/20,0
3/27/20,2.3
3/28/20,7
3/29/20,5.4
3/30/20,2.7
3/31/20,0
4/1/20,2.7
4/2/20,8.8
4/3/20,3.9
4/4/20,0
4/5/20,0.4
4/6/20,0
4/7/20,0
4/8/20,0
4/9/20,0
4/10/20,0
4/11/20,2
4/12/20,1.5
4/13/20,1.3
4/14/20,0
4/15/20,6.4
4/16/20,23.7
4/17/20,5.8
4/18/20,3
4/19/20,2.1
4/20/20,0
4/21/20,2.4
4/22/20,0
4/23/20,3
4/24/20,4.6
4/25/20,2.4
4/26/20,0.4
4/27/20,0
4/28/20,0
4/29/20,0
4/30/20,0
5/1/20,0
5/2/20,0
5/3/20,0
5/4/20,0
5/5/20,0
5/6/20,0
5/7/20,0
5/8/20,0
5/9/20,0
5/10/20,2.1
5/11/20,14.7
5/12/20,0
5/13/20,0
5/14/20,0
5/15/20,0
5/16/20,1.9
5/17/20,0
5/18/20,0
5/19/20,0
5/20/20,0
5/21/20,0
5/22/20,2.1
5/23/20,0
5/24/20,0
5/25/20,0
5/26/20,2.3
5/27/20,0
5/28/20,0
5/29/20,3.3
5/30/20,3
5/31/20,1.3
6/1/20,4.4
6/2/20,0
6/3/20,0
6/4/20,0.6
6/5/20,3.1
6/6/20,2.7
6/7/20,0
6/8/20,9.1
6/9/20,5.2
6/10/20,0
6/11/20,0
6/12/20,3.2
6/13/20,1.6
6/14/20,0
6/15/20,0.9
6/16/20,0
6/17/20,0
6/18/20,1
6/19/20,0
6/20/20,0.3
6/21/20,0
6/22/20,0.3
6/23/20,0
6/24/20,0
6/25/20,0.4
6/26/20,2
6/27/20,0
6/28/20,1.2
6/29/20,0.5
6/30/20,0
7/1/20,0
7/2/20,0
7/3/20,0
7/4/20,2.6
7/5/20,0
7/6/20,0
7/7/20,0
7/8/20,0
7/9/20,0
7/10/20,0
7/11/20,0
7/12/20,2
7/13/20,2.6
7/14/20,8.5
7/15/20,1.2
7/16/20,3.9
7/17/20,0
7/18/20,0
7/19/20,0
7/20/20,0
7/21/20,0
7/22/20,2.6
7/23/20,5.7
7/24/20,2.8
7/25/20,5.5
7/26/20,6
7/27/20,14.1
7/28/20,1.2
7/29/20,0
7/30/20,0
7/31/20,0
8/1/20,0
8/2/20,0
8/3/20,1.6
8/4/20,0
8/5/20,0
8/6/20,0
8/7/20,0
8/8/20,0
8/9/20,0
8/10/20,0
8/11/20,0
8/12/20,0
8/13/20,0
8/14/20,0
8/15/20,0
8/16/20,0
8/17/20,0
8/18/20,0
8/19/20,0
8/20/20,0
8/21/20,0
8/22/20,0
8/23/20,0.5
8/24/20,0.5
8/25/20,4
8/26/20,7.1
8/27/20,0
8/28/20,9.6
8/29/20,15.5
8/30/20,1.1
8/31/20,8.6
9/1/20,2.2
9/2/20,0
9/3/20,0
9/4/20,0
9/5/20,0
9/6/20,0
9/7/20,0
9/8/20,24.8
9/9/20,7.4
9/10/20,5.2
9/11/20,0.9
9/12/20,0
9/13/20,0
9/14/20,0
9/15/20,0
9/16/20,0
9/17/20,0
9/18/20,0.8
9/19/20,0
9/20/20,0
9/21/20,0
9/22/20,0
9/23/20,0
9/24/20,0
9/25/20,0
9/26/20,0
9/27/20,0
9/28/20,0
9/29/20,0
9/30/20,0
10/1/20,0